viewer,producer,watchedDate,watchedTime,videoTitle,videoDuration,genre,producerCountry,videoRating,platform
Коваленко Олег Іванович,Петренко Ірина Василівна,2024-09-14,20:30:00,Весняний ранок,00:15:45,Драма,Україна,8.7,VideoHub
Сидоренко Марія Олексіївна,Петренко Ірина Василівна,2024-09-14,21:45:00,Весняний ранок,00:15:45,Драма,Україна,8.7,VideoHub
Бондаренко Дмитро Сергійович,Іваненко Андрій Миколайович,2024-09-14,22:20:00,Нічне небо,00:22:30,Документальний,США,9.2,FilmStream
Ткаченко Юлія Ігорівна,Іваненко Андрій Миколайович,2024-09-14,23:30:00,Нічне небо,00:22:30,Документальний,США,9.2,FilmStream
Кравченко Сергій Володимирович,Мельник Оксана Петрівна,2024-09-15,19:15:00,Сміх до сліз,00:10:20,Комедія,Велика Британія,7.8,ComedyVision
Марченко Ірина Олегівна,Мельник Оксана Петрівна,2024-09-15,21:00:00,Сміх до сліз,00:10:20,Комедія,Велика Британія,7.8,ComedyVision
Шевчук Павло Михайлович,Петренко Ірина Василівна,2024-09-15,22:45:00,Осінній дощ,00:18:15,Мелодрама,Україна,8.3,VideoHub
Гончарук Наталія Вікторівна,Іваненко Андрій Миколайович,2024-09-16,20:30:00,Міські джунглі,00:25:40,Документальний,США,8.9,FilmStream
Лисенко Артем Олегович,Мельник Оксана Петрівна,2024-09-16,22:15:00,Вечірні жарти,00:12:35,Комедія,Велика Британія,7.5,ComedyVision
Коваленко Олег Іванович,Петренко Ірина Василівна,2024-09-16,23:00:00,Осінній дощ,00:18:15,Мелодрама,Україна,8.3,VideoHub
Ковальчук Михайло Іванович,Іваненко Андрій Миколайович,2024-09-17,19:45:00,Нічне небо,00:22:30,Документальний,США,9.2,FilmStream
Бондаренко Дмитро Сергійович,Мельник Оксана Петрівна,2024-09-17,21:30:00,Сміх до сліз,00:10:20,Комедія,Велика Британія,7.8,ComedyVision
